               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.024996,             0.01327,                   0,             0.77424,             0.72114,             0.74913,             0.34317,            0.036547,            0.013897,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.023738,            0.012768,                   0,             0.84734,             0.67437,             0.76314,             0.34511,            0.036561,            0.013605,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.023207,            0.012588,                   0,             0.75612,             0.70561,             0.74914,             0.34411,            0.036637,            0.013741,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.023659,            0.013023,                   0,             0.80685,             0.68321,             0.74458,             0.35248,            0.035535,            0.013514,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.022556,            0.012634,                   0,             0.79436,             0.72206,             0.76649,             0.35877,            0.035582,            0.013419,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.023155,            0.013295,                   0,             0.77948,             0.71963,             0.76056,             0.35439,            0.035687,            0.013577,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.023031,            0.013434,                   0,             0.81859,             0.71028,             0.77445,             0.34967,            0.035901,            0.013674,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022502,            0.012167,                   0,             0.81947,             0.71495,             0.75991,             0.35049,            0.036082,            0.013913,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.021939,            0.012601,                   0,             0.81852,             0.71963,             0.77767,             0.35898,            0.035863,            0.013537,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021798,            0.012176,                   0,             0.81985,             0.71963,             0.77434,             0.36468,             0.03549,            0.013588,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.022102,            0.012001,                   0,             0.81454,             0.71028,                0.77,             0.36434,            0.035576,            0.013534,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.021866,            0.012398,                   0,               0.802,             0.71963,             0.76762,             0.36322,            0.035778,            0.013512,                   0,            0.000298,            0.000298,            0.000298
